rho_m,z_m
0.000000000000000000e+00,1.199999999999999956e-01
6.675628018689431370e-03,1.110991626417474204e-01
1.301651217352674250e-02,1.026446504352976630e-01
1.870469405576200353e-02,9.506040792565065289e-02
2.345494447404089175e-02,8.872674070127881119e-02
2.702906603707257160e-02,8.396124528390322417e-02
2.924783736545470691e-02,8.100288351272705301e-02
2.999999999999999889e-02,7.999999999999998779e-02
2.999999999999999889e-02,7.499999999999999722e-02
2.999999999999999889e-02,6.999999999999999278e-02
2.999999999999999889e-02,6.499999999999998834e-02
2.999999999999999889e-02,5.999999999999998390e-02
2.999999999999999889e-02,5.499999999999997946e-02
2.999999999999999889e-02,4.999999999999997502e-02
2.999999999999999889e-02,4.499999999999997058e-02
2.999999999999999889e-02,3.999999999999996614e-02
2.999999999999999889e-02,3.499999999999996170e-02
2.999999999999999889e-02,2.999999999999995726e-02
2.999999999999999889e-02,2.499999999999995282e-02
2.999999999999999889e-02,1.999999999999994837e-02
2.999999999999999889e-02,1.499999999999994393e-02
2.999999999999999889e-02,9.999999999999939493e-03
2.999999999999999889e-02,4.999999999999935052e-03
2.999999999999999889e-02,-6.938893903907228378e-17
2.999999999999999889e-02,-5.000000000000073830e-03
2.999999999999999889e-02,-1.000000000000007827e-02
2.999999999999999889e-02,-1.500000000000008271e-02
2.999999999999999889e-02,-2.000000000000008715e-02
2.999999999999999889e-02,-2.500000000000009159e-02
2.999999999999999889e-02,-3.000000000000009603e-02
2.999999999999999889e-02,-3.500000000000010048e-02
2.999999999999999889e-02,-4.000000000000010492e-02
2.999999999999999889e-02,-4.500000000000010936e-02
2.999999999999999889e-02,-5.000000000000011380e-02
2.999999999999999889e-02,-5.500000000000011824e-02
2.999999999999999889e-02,-6.000000000000012268e-02
2.999999999999999889e-02,-6.500000000000012712e-02
2.999999999999999889e-02,-7.000000000000013156e-02
2.999999999999999889e-02,-7.500000000000013600e-02
2.999999999999999889e-02,-8.000000000000014044e-02
2.400000000000000050e-02,-8.000000000000000167e-02
1.799999999999999864e-02,-8.000000000000000167e-02
1.199999999999999678e-02,-8.000000000000000167e-02
5.999999999999998390e-03,-8.000000000000000167e-02
0.000000000000000000e+00,-8.000000000000000167e-02
