aspect_deg,vv_dBsm_3GHz,hh_dBsm_3GHz,vv_dBsm_6GHz,hh_dBsm_6GHz
0.0000,-20.6001,-20.6001,-30.1638,-30.1638
10.0000,-20.6398,-20.2847,-25.0972,-29.1110
20.0000,-21.1239,-19.9294,-26.1184,-34.0911
30.0000,-25.0702,-20.8392,-33.2417,-29.2857
40.0000,-26.0178,-24.1590,-23.0888,-31.4726
50.0000,-19.7938,-31.7983,-21.3447,-21.8648
60.0000,-26.8225,-23.3743,-20.5202,-21.2115
70.0000,-22.4786,-27.0353,-24.9451,-23.1756
80.0000,-14.3472,-16.5674,-31.0133,-26.3308
90.0000,-12.0161,-12.5448,-9.5957,-10.8758
100.0000,-18.5681,-18.3040,-29.0610,-27.8265
110.0000,-31.3605,-35.8569,-44.7356,-28.7067
120.0000,-29.9269,-25.2578,-51.0159,-28.9521
130.0000,-39.4825,-30.5236,-38.0351,-31.8316
140.0000,-18.4590,-26.7987,-36.0056,-30.1089
150.0000,-20.0289,-20.7678,-32.4340,-30.5363
160.0000,-26.7241,-18.4467,-31.5158,-22.1406
170.0000,-18.6331,-17.3913,-15.4053,-15.7677
180.0000,-17.0785,-17.0785,-13.8999,-13.8999
