aspect_deg,roll_deg,wing_vv_dBsm,corner_vv_dBsm,assembly_vv_dBsm,assembly_crosspol_vh_dBsm
30,0,-200.000,-200.000,-200.000,-200.000
30,45,-43.266,-40.332,-42.226,-52.408
30,90,-18.880,-200.000,-18.880,-200.000
40,0,-200.000,-200.000,-200.000,-200.000
40,45,-46.943,-33.526,-33.317,-42.116
40,90,-24.938,-200.000,-24.938,-200.000
50,0,-200.000,-200.000,-200.000,-200.000
50,45,-49.470,-31.228,-30.266,-50.308
50,90,-17.551,-200.000,-17.551,-200.000
60,0,-200.000,-200.000,-200.000,-200.000
60,45,-43.228,-63.171,-43.559,-45.848
60,90,-24.231,-200.000,-24.231,-200.000
70,0,-200.000,-200.000,-200.000,-200.000
70,45,-70.212,-21.359,-21.366,-74.439
70,90,-15.778,-200.000,-15.778,-200.000
80,0,-200.000,-200.000,-200.000,-200.000
80,45,-52.518,-13.303,-13.270,-54.344
80,90,-6.275,-200.000,-6.275,-200.000
90,0,-200.000,-200.000,-200.000,-200.000
90,45,-19.093,0.029,0.601,-22.103
90,90,6.542,-200.000,6.542,-200.000
100,0,-200.000,-200.000,-200.000,-200.000
100,45,-52.518,-13.303,-13.270,-56.377
100,90,-6.275,-200.000,-6.275,-200.000
110,0,-200.000,-200.000,-200.000,-200.000
110,45,-70.212,-21.359,-21.366,-72.027
110,90,-15.778,-200.000,-15.778,-200.000
120,0,-200.000,-200.000,-200.000,-200.000
120,45,-43.228,-63.171,-43.559,-45.192
120,90,-24.231,-200.000,-24.231,-200.000
130,0,-200.000,-200.000,-200.000,-200.000
130,45,-49.470,-31.228,-30.266,-49.725
130,90,-17.551,-200.000,-17.551,-200.000
140,0,-200.000,-200.000,-200.000,-200.000
140,45,-46.943,-33.526,-33.317,-50.082
140,90,-24.938,-200.000,-24.938,-200.000
150,0,-200.000,-200.000,-200.000,-200.000
150,45,-43.266,-40.332,-42.226,-43.583
150,90,-18.880,-200.000,-18.880,-200.000
