aspect_deg,roll_deg,cavity_vv_dBsm,cavity_vh_dBsm
30,0,-200.000,-200.000
30,90,-22.987,-36.967
30,180,-25.486,-36.967
30,270,-200.000,-200.000
50,0,-200.000,-200.000
50,90,-22.987,-36.967
50,180,-25.486,-36.967
50,270,-200.000,-200.000
70,0,-200.000,-200.000
70,90,-22.987,-36.967
70,180,-25.486,-36.967
70,270,-200.000,-200.000
90,0,-200.000,-200.000
90,90,-22.987,-36.967
90,180,-25.486,-36.967
90,270,-200.000,-200.000
110,0,-200.000,-200.000
110,90,-22.987,-36.967
110,180,-25.486,-36.967
110,270,-200.000,-200.000
130,0,-200.000,-200.000
130,90,-22.987,-36.967
130,180,-25.486,-36.967
130,270,-200.000,-200.000
150,0,-200.000,-200.000
150,90,-22.987,-36.967
150,180,-25.486,-36.967
150,270,-200.000,-200.000
